video_id,senti_score
-0kcet4aPpQ,1.0
-1pMMIe4hb4,1.0
-2PbqvW4hZo,1.0
-2U0Ivkn2Ds,0.3333333333333333
-3aGZZueg08,0.75
-3b6hDCIeDk,0.6
-3dDSy7ixoo,1.0
-4Bab6nnI18,1.0
-59jGD4WrmE,1.0
-5EmnQp3V48,1.0
-6BGu-GyKWQ,0.3333333333333333
-6FvsKo162U,0.25
-6YviVdfxbM,1.0
-8WLa6umgdw,1.0
-8i3p4HbbXA,0.3333333333333333
-CVn3-3g_BI,1.0
0-cpL--0AQA,0.2
0-zDFLbWK1Q,0.6666666666666666
01izSmWzgeI,0.8
01yUzXQctcM,0.6666666666666666
02-8boTzMyM,0.75
03cR1tAFSmQ,1.0
041h-1_5yfo,0.5
04854XqcfCY,0.6
04mfKJWDSzI,1.0
04v-SdKeEpE,0.25
056JqrfPd0U,0.0
05d2VwryTAA,0.75
0698sTH7mUk,0.25
06a19-S77F4,0.6
06iksmYdLFk,0.5
07GRPHLeLm4,1.0
07Y0cy-nvAg,1.0
07uSAIcXFmg,1.0
07vnBwaQF-k,0.75
08Ndzf5-HxI,1.0
09LTT0xwdfw,0.75
09R8_2nJtjg,1.0
0A0d5f1eNhQ,0.0
0AsPwoOeFcU,0.5
0CVLVaBECuc,1.0
0DQup4hd1_o,0.5
0G2VxhV_gXM,0.5
0G3_kG5FFfQ,1.0
0Gl2QnHNpkA,0.5
0H6re3PCP3E,0.3333333333333333
0HTexqxo1og,1.0
0IA3ZvCkRkQ,0.5
0J2QdDbelmY,0.6666666666666666
0J3vgcE5i2o,0.6666666666666666
0KJgBkreAuw,1.0
0KRSx1lpjT8,0.75
0MdAbsd0HmI,0.3333333333333333
0My2AqPFpFg,0.0
0NaYln_HKUE,0.6
0O8m0mMDpHw,1.0
0OBs6S1lW_Q,1.0
0Olv8zM_rps,1.0
0P4A1K4lXDo,0.75
0P59OHTGCns,0.6666666666666666
0RV_hthKxEE,1.0
0T2jfjUehd8,0.5
0U8XWyHaGkI,0.6666666666666666
0UaMsIJ4bR0,0.6666666666666666
0Uc3ZrmhDN4,1.0
0UgsOCUBRXs,0.6000000000000001
0W2KYYOdZQU,0.3333333333333333
0XbsvjQ3tBM,0.5
0ZgjmE6xdaw,1.0
0_5XeetZf68,0.6666666666666666
0_9asoR-sAU,1.0
0_BdbKYW2-A,1.0
0_fGjJzL6Ys,0.0
0aEnnH6t8Ts,1.0
0bOAxlfMs_0,0.8
0bT65sQazQY,0.0
0bhsXykXxfg,0.3333333333333333
0bmE9XY3sOc,1.0
0dUdnlAps9Q,1.0
0eXIOK2vOhM,0.5
0gtDICWPTyA,1.0
0h3albh-ngU,0.8
0habxsuXW4g,0.5
0hcoNykaI3k,1.0
0iPtG_O8w8g,1.0
0jpaRmbeHcE,1.0
0kS-MtxPr9I,1.0
0l0nzPpvbFs,0.75
0lPQZni7I18,0.75
0m4GMu4wJRE,1.0
0mYBSayCsH0,0.6666666666666666
0mZjBBQ3Dnc,0.5
0nBFWzpWXuM,0.0
0nMcUvjMw-Y,0.0
0neAKfehNuM,0.0
0oWG2Ss9px4,1.0
0opZqh_TprM,0.3333333333333333
0q2ybRffXi4,0.6
0qanF-91aJo,0.8
0rILrLFWZbU,1.0
0svu_lMdkRQ,0.39999999999999997
0tcDXJfAFVw,0.75
0tgYr03o3dE,0.75
0tn6nWYNK3Q,0.25
0u_u4nlYmNs,0.6000000000000001
0vkFnBuGNPA,1.0
0vqgdSsfqPs,0.3333333333333333
0w62ddeVwGE,1.0
0wTxqHbJOzg,1.0
0yVdBlGSgRw,0.6666666666666666
0yhI35F2NB0,0.6666666666666666
0zmpuehm3UA,1.0
0zwNUdk5roM,0.5
1--qqQrimMA,1.0
1-YawSE7cgM,1.0
129kuDCQtHs,0.8
12P2o91OLo4,0.8
13PYVofBFRc,0.8
148x0wiZdw4,1.0
14PgWitIbSk,0.6666666666666666
151JbrQ52hg,0.5
16YnOUnbE6s,0.75
16tUVeBGkNE,1.0
16y1AkoZkmQ,1.0
18BkNfFPQS0,1.0
18KjJ3OJdck,0.75
18PCf6aq5wI,1.0
1A0MPWseJIE,0.0
1AABgXnPBqk,0.0
1AFN4dn09oM,1.0
1AJmKkU5POA,0.5
1BkZ8ci8_k4,1.0
1Cw1ng75KP0,0.5
1D5PtyrewSs,0.5
1EdUjlawLJM,0.6666666666666666
1EmuzAK55AA,1.0
1Fa_MLOQyMI,0.5
1G4isv_Fylg,0.5
1HqTh0nd9GE,0.75
1IIPioL6rqw,0.6666666666666666
1Ju_dPhXSiE,1.0
1JxEOqSMouU,0.8
1La9GAX4mcA,1.0
1MTsqRU-4LY,0.0
1NvsMKYgCsM,1.0
1OjTspCqvk8,0.75
1OrNS2zbTZg,0.0
1Osyw6Svv8U,1.0
1QQTT5tktH4,0.75
1QWEPdgS3As,0.3333333333333333
1RnPB76mjxI,0.0
1TO48Cnl66w,1.0
1TWYBuyU63U,1.0
1VQ_3sBZEm0,0.75
1VXWkBPqZKY,1.0
1V_xRb0x9aw,0.5
1Vc0VG7uq-k,1.0
1Vf4mMCpNY0,0.0
1W_6Ym3CrU0,1.0
1WkvomHrfVo,0.75
1XP0Mu1dETo,0.75
1XmbvfxMiUE,0.4
1YOOxeFr1b8,1.0
1Z-ZfAlrgJs,0.6666666666666666
1ZYau0hJHFk,0.75
1ZkJDL3E0cc,1.0
1ZxN9iQM7OY,0.75
1_4ELAxKrDc,1.0
1_Xe8CAThqE,0.5
1_zgKRBrT0Y,1.0
1cDoRqPnCXU,0.5
1cuYIHLk4lI,1.0
1eqpHvzkc_0,1.0
1fSgSm4hryc,0.6666666666666666
1h4Re5WBEAc,1.0
1h9tC6Gz-kY,1.0
