track_id,track,video_id,track_popularity,artist_popularity,like_count,view_count,senti_score,popularity_score
7zBQRGpYImAdIZc97FNj3V,"Shell Shocked (feat. Kill the Noise & Madsonik) - From ""Teenage Mutant Ninja Turtles""",BaACrT6Ydik,66,72,1518137,201044173,0.3333333333333333,35
0aULRU35N9kTj6O1xMULRR,Magic Stick,4KgFCkWJ1mI,61,63,1315,96584,0.0,9
3rjM7GhxdVq1YySsHBs21i,Animals,GjMANt85Mj4,71,75,2718,463015,0.5,20
6sFpmdsk4UDMcDWdy4T1Kc,Candy,6bLOjmY--TA,62,60,171801,28127923,0.75,9
1xShPgQbOUa98avWJQFDBY,Personal Jesus - Original Single Version,u1xrNaTO1bI,62,73,1032028,179694002,1.0,11
5E2v6b4Mo4jxuPrcK4YEIF,King Of Kings,dQl4izxPeNU,63,71,262398,33119573,1.0,8
2nklcPJ3YhYJfC2ibStXz9,#41,NTC__g12xPs,56,63,24040,4876607,0.6666666666666666,7
2QsoVMTKj5m5kgztTOep98,Hey Baby,wt1YkGO2Ieo,60,66,287719,56808672,1.0,10
2TxWkdptNrm2Z0CZfMr3Iq,I Don't Wanna Lose You,pLj5sBfGuQY,67,69,282762,46965924,0.0,8
32R7r1j2r13XwF62fT8sNt,Manasellam Mazhaiye,Q5_5VClHNlw,60,74,142539,21177706,1.0,4
4cMnESkXGcB6kIp6iPNUB2,Lose You,1Ju_dPhXSiE,55,70,10132,473835,0.25,26
7fyJO1frnsizz23gTKgbdt,It Wasn't Me,T_x6QmuJdms,56,47,266172,20400094,0.5,136
29nNU80zu0vscbrvTi55mG,I'm in a Hurry (And Don't Know Why),Qy01R9CEFFs,68,63,13747,2197841,1.0,18
29RcVe2M9l8rHyWHffBmjf,Last Dance - Single Version,G5rJunb4sIk,60,62,6140,406845,1.0,5
51pnSx6vfBzV8lkLLNFFpy,Buscando Guayaba,dL2v2hjYxc0,50,67,13257,2903616,0.5,4
2eqDUxbd0JPEhNrJdPlHLs,Adrenalina (feat. Jennifer Lopez & Ricky Martin),ME2Hufquz0k,65,74,2219193,920961537,1.0,105
4Hmuqk2w1fGqwpMP04aDUu,Amor Prohibido,SgP_YZjG9zA,71,68,85482,24402493,0.0,30
43gYYzuAUfrsXxurrxVyE9,Take Another Little Piece of My Heart,CIaPiw4p234,41,64,2136,215229,1.0,3
