track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,track_popularity,artist_popularity,duration_min
60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,88,83,3.6146666666666665
18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4,83,83,3.426883333333333
3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4,82,83,2.622216666666666
4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,82,83,2.71
57BrRMwf9LrcmuOsyGilwr,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4,79,83,3.482666666666667
7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,4,77,83,3.83755
70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,89,79,3.977333333333333
10nyNJ6zNy2YVYLrcwLccB,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,84,79,3.818666666666666
63OQupATfueTdZMWTxW03A,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4,78,79,4.401116666666667
2a1iMaoWQ5MnvLFBDv4qkf,0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4,78,79,4.291333333333333
0z1o5L7HJx562xZSATcIpY,0.293,0.276,4,-11.357,0,0.0349,0.224,0.122,0.167,0.195,121.603,4,74,79,4.453116666666666
0YJ9FWWHn9EfnN0lHwbzvV,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,4,76,79,4.148216666666666
73CKjW3vsUXRpy3NnX4H7F,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4,74,79,4.845116666666667
1dyTcli07c77mtQK3ahUZR,0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,4,75,79,3.9133333333333336
2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,86,79,3.473333333333333
57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,86,79,4.881333333333333
2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,84,79,3.502883333333333
69QHm3pustz01CJRwdo20z,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,4,76,79,5.204883333333333
2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,4,75,79,3.86555
0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4,75,79,5.29045
7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,4,74,79,5.02045
4feXJ5IC3avXsVW9WNFSag,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,4,72,79,4.35845
2H1047e0oMSj10dgp7p2VG,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,4,78,78,4.818883333333333
0YJW8OXw8G1xDfkzaID3vv,0.831,0.868,11,-5.282,1,0.0325,0.176,0.0,0.184,0.483,131.971,4,69,78,3.2406333333333333
0xmjwnQ3FNE6HuWCt2nHdZ,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,4,82,78,4.542216666666667
3JA9Jsuxr4xgHXEawAdCp4,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,4,79,78,3.6571166666666666
6wOYnPq1hPihRepcDClPUw,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4,71,78,4.73955
31rWRFlQyMpmF6hfN4vUFj,0.872,0.789,1,-6.047,0,0.132,0.203,2.39e-05,0.125,0.646,126.042,4,55,78,3.9365
7J1uxwnxfQLu4APicE5Rnj,0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4,80,80,4.903783333333333
5BKKy9fIJL5uM9fz1SnqyP,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,4,79,80,4.091783333333334
3BovdzfaX4jb5KFQwoPfAw,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4,78,80,4.306666666666667
5T7ywazdGIydr6JCW6t02j,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4,74,80,4.296
7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,4,78,80,3.6771166666666666
46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4,77,80,6.091116666666666
3wuCCNCnBhJlwkIJTBZFiv,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4,75,80,4.736
