track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
5lnlFi4cQ2klADNUAXYXdl,0.623,0.807,0,-3.784,1,0.0345,0.0688,0.0,0.35,0.517,100.048,4,3.57015,1
2rURPF1QSMXhaM1zBZQm7w,0.615,0.678,10,-6.271,1,0.0519,0.885,4.37e-06,0.184,0.358,144.874,4,3.8572166666666665,0
69OY9Ujexp9qK4MHtD6Tzr,0.644,0.787,4,-5.733,1,0.0697,0.0973,1.52e-06,0.057,0.313,139.943,4,3.5469833333333334,1
1xw0dNFXAfu6xJgKMlSUU5,0.508,0.448,7,-7.03,0,0.0362,0.777,0.0,0.0461,0.346,79.28,4,3.709783333333333,0
7fZuFmGX3xeGFUAGiGL6Zd,0.575,0.219,1,-9.758,1,0.035,0.884,0.0,0.11,0.319,85.365,4,3.1912,0
4AZ0sJsofN1fu52BaYDfQX,0.5,0.596,6,-5.134,1,0.0366,0.692,0.0,0.369,0.381,169.929,4,3.7073833333333335,0
1oacz9XYjleuKk4bJzMdmO,0.668,0.634,5,-5.508,0,0.0357,0.00317,2.31e-06,0.269,0.458,110.028,4,3.386883333333333,1
7aLtOxVOUahFU8fO25hWoH,0.622,0.45,0,-6.304,0,0.0274,0.518,0.0,0.143,0.178,137.931,4,3.9391166666666666,0
2Zmt6TqxG2UGDxg4SjNVkA,0.415,0.287,1,-9.673,1,0.0472,0.805,2.87e-05,0.105,0.24,177.109,4,4.0430166666666665,0
5Ma3ufkxJvUW16yeh8ifq8,0.594,0.53,0,-7.192,1,0.0262,0.506,0.0,0.0973,0.419,81.979,4,3.9191666666666665,1
3JHHdVlFZZ8ZsGplFbZDPU,0.506,0.624,4,-5.157,0,0.0741,0.162,0.0,0.137,0.238,114.054,4,3.58245,1
4AwKv5yOIoB04ZU9hPB3Uj,0.519,0.284,4,-7.236,1,0.0325,0.64,0.0,0.113,0.378,106.115,4,3.453783333333333,0
5QyPXFPY4We3gtKWipjY7l,0.53,0.364,0,-9.655,1,0.043,0.837,0.0,0.119,0.184,151.764,4,2.98245,0
4iSpNdF5QpTxLXtcPJYbSr,0.627,0.766,5,-3.686,1,0.0464,0.256,3.26e-05,0.151,0.367,90.001,4,3.54955,1
5B6BvYNj9cjZUnzoslwK20,0.642,0.675,2,-6.028,1,0.0319,0.305,3.34e-05,0.113,0.377,127.943,4,4.310983333333334,1
4hKR9v8ZcQi0R0q7Dhp3e5,0.528,0.25,2,-12.98,0,0.0357,0.839,0.00134,0.11,0.109,128.797,4,2.915783333333333,0
0mnkaPuMIsKc2J5XhLLBHC,0.698,0.765,6,-4.327,0,0.0725,0.00669,3.49e-05,0.119,0.239,130.029,4,3.983533333333333,1
480OdbIJmLg3Otwecxd4Ve,0.583,0.498,11,-6.356,0,0.0299,0.115,1.45e-05,0.11,0.158,132.019,4,4.253333333333333,0
0RsekH57LexeI1dfFklfVR,0.499,0.566,11,-8.016,0,0.0338,0.389,0.0,0.115,0.148,113.37,4,2.577783333333333,0
3ijziiZCBF14GTD8DJJkdg,0.56,0.431,11,-9.356,1,0.0281,0.885,4.67e-06,0.102,0.132,79.03,4,3.51045,0
0MYNzUYtQAkg4lzHDM2cT4,0.611,0.868,11,-3.116,0,0.046,0.114,2.79e-06,0.194,0.55,99.99,4,3.3103,2
1XSfokptXGWdxqKFRjAhrp,0.544,0.396,9,-6.202,1,0.0455,0.893,0.0,0.102,0.335,179.914,4,2.524,0
6ATapyXgmB4zkjtO2zkmyq,0.606,0.406,0,-9.174,1,0.0256,0.893,0.0,0.1,0.389,105.945,4,2.704883333333333,0
38FCXf9CTcH9MJKn3WsJ7x,0.475,0.577,7,-7.498,1,0.0307,0.574,0.0,0.0967,0.6,111.973,4,4.149,1
6pAzrdqZKo4AnRWDKStG7R,0.65,0.971,5,-4.088,0,0.209,0.00656,0.0327,0.258,0.2,139.97,4,3.2875,2
0OilC5WXVfNrCiKRlA7TZX,0.656,0.728,4,-4.085,1,0.11,0.0115,5.47e-06,0.0681,0.82,139.977,4,4.077766666666666,1
6CnvGGZh02yiTOnyLQmxUY,0.583,0.868,0,-6.811,1,0.056,0.176,0.0,0.0636,0.866,151.647,4,4.16645,1
6MNW4nosn8RT9pN88p2zDA,0.68,0.69,0,-4.988,1,0.0419,0.767,0.0,0.0948,0.888,91.092,4,2.268666666666667,1
5IPzN04tOiUhQ5UoHwruxP,0.695,0.437,10,-12.454,1,0.03,0.851,0.00271,0.278,0.896,111.891,4,1.3763833333333333,0
58r51Dvlkw6De3Duwp6Vcr,0.468,0.441,11,-9.504,1,0.0357,0.244,0.00264,0.329,0.245,77.941,4,2.6304333333333334,0
5ueyUIOcH7iDpNzuR1LsKn,0.687,0.39,5,-14.679,1,0.0366,0.8,0.000154,0.0879,0.704,99.425,4,3.0688833333333334,0
7bhMOBk9pTAnapiQh9Evyc,0.708,0.368,5,-8.314,1,0.0507,0.807,0.0,0.152,0.879,133.748,4,1.8588833333333328,0
5WmVe8Y6ApOdncK9uIoF3z,0.576,0.435,3,-9.932,1,0.0307,0.284,0.00102,0.117,0.443,83.468,4,4.495116666666667,0
2MENUewcb6uNWJI6mDB3jq,0.275,0.25,1,-13.97,1,0.0567,0.871,8.02e-05,0.113,0.0845,84.097,4,4.1365,0
1FDs1EXSd8G62xuqYS0pNv,0.469,0.857,4,-4.683,0,0.15,0.198,0.0,0.339,0.656,171.878,4,3.912533333333333,1
1asadIhWy38zupFVJdUMLD,0.653,0.169,7,-14.482,0,0.0448,0.89,0.0,0.112,0.815,107.325,4,2.254,0
6aYjVWuTtLWjRu1OYK9a6h,0.719,0.177,2,-13.305,0,0.0394,0.346,0.221,0.102,0.443,120.101,4,2.6427,0
0kHvdb6ziEmzlnN9jnnLXz,0.677,0.507,5,-11.577,1,0.0945,0.549,0.0,0.486,0.693,82.576,4,1.88065,1
1QpiEhVZdN34fJxoUx80la,0.362,0.27,10,-10.714,1,0.0336,0.518,1.02e-05,0.468,0.515,127.977,4,2.0644666666666667,0
3W1oNTTjETCzptyc5iP5ki,0.793,0.225,6,-9.239,0,0.0713,0.349,0.0,0.384,0.554,120.029,4,2.096083333333333,0
40wVJcBuuWWIuUlITBmx9l,0.6,0.225,0,-10.718,0,0.0599,0.117,0.0,0.276,0.602,119.813,4,2.404733333333333,1
7xmGD1cM3FSTAdpkCA5nV6,0.557,0.549,2,-13.017,1,0.026,3.27e-05,0.802,0.126,0.618,97.034,4,1.3218833333333333,3
14VnlXEs0xCCHb2GwyfD8H,0.635,0.429,2,-10.73,1,0.0408,0.607,0.0,0.29,0.949,77.539,4,2.2451666666666665,0
6UWOpnPJGBjQlo2GDsBtuo,0.536,0.455,1,-11.438,1,0.277,0.448,0.0,0.246,0.453,135.008,4,1.8889,0
48GtqBCshApzFKZqtdbMv3,0.217,0.311,4,-13.349,0,0.0341,0.0429,6.48e-05,0.141,0.561,149.692,4,1.6591333333333331,1
2Qb0momNGHDezsILaPr2ah,0.557,0.51,0,-11.028,1,0.214,0.394,0.0,0.315,0.65,139.142,4,3.433333333333333,1
0ZTlVsrCppg2bn9rdf5rEz,0.523,0.529,4,-10.97,0,0.0884,0.589,0.0,0.459,0.492,76.406,4,3.7202,1
0znCTHpzFLnXl9Hfp7tVFB,0.717,0.233,0,-13.836,0,0.0454,0.0112,0.000875,0.091,0.457,115.47,4,2.464983333333333,1
3lw5QiH1GDqRFVtpQpOd4g,0.392,0.319,2,-12.013,1,0.0363,0.798,0.000923,0.118,0.491,165.036,4,2.71045,0
39PYDNrDXF2Qe8tARaPcMo,0.426,0.771,7,-6.317,1,0.13,0.555,0.0,0.38,0.852,181.237,4,3.6906666666666665,1
7qqRahwHKrtbNSLgu6Wtg9,0.494,0.707,10,-12.736,0,0.0774,0.345,0.000792,0.193,0.669,107.987,4,5.9972666666666665,1
6ZwdTuMCFR18kpguj4Bi90,0.633,0.771,10,-7.43,0,0.121,0.0441,0.014,0.0668,0.591,141.654,4,6.12245,2
0dDjBeUnkgwFJIym4rhhR2,0.507,0.861,2,-9.887,1,0.124,0.0824,0.00277,0.195,0.411,141.868,4,3.8493333333333335,2
1TDWF4d2tyP4VZKOEXbAJu,0.414,0.878,7,-5.398,0,0.0796,0.19,2.39e-06,0.0894,0.664,94.323,4,3.456,1
6rruuuIhrnaoS2MJOMMQx8,0.405,0.889,7,-5.875,1,0.26,0.12,0.000447,0.382,0.662,180.392,4,4.317783333333334,2
3OCN2yjcUXOYeMXODfJo9Y,0.527,0.968,7,-4.874,1,0.0917,0.271,0.00462,0.388,0.549,151.298,4,4.25245,2
1A0OqRc3nIzUz1YHUEI7j0,0.674,0.67,0,-11.142,1,0.0986,0.589,0.11,0.158,0.582,105.912,4,4.654883333333333,1
4pSr9EC7ibyU5YCO3aFWsp,0.559,0.509,4,-9.664,1,0.12,0.734,0.0,0.357,0.511,85.164,4,3.732,0
1fGfTeBL5zqbR658DlIMTW,0.484,0.717,2,-8.21,1,0.0905,0.0136,0.000851,0.076,0.377,101.895,4,5.359783333333334,1
58lhN8phAIqxKyWiuD589q,0.601,0.651,7,-5.98,1,0.189,0.573,0.0,0.434,0.518,128.92,4,3.5731166666666665,1
38ygZLFCNhtaQ0Ynxvhjuv,0.573,0.232,4,-13.51,0,0.121,0.554,0.00411,0.121,0.28,72.305,4,4.1273333333333335,0
1eDteH3uLvNybk4ZE48dAK,0.541,0.393,2,-12.987,1,0.163,0.491,0.000677,0.0679,0.442,74.829,4,4.965633333333333,0
6ZHTFgkxPzPrdM6LSQPO2G,0.683,0.742,5,-7.095,1,0.0776,0.234,4.84e-05,0.119,0.854,102.342,4,3.6611166666666666,1
0f59v8uqwOjaN7bZZI9udq,0.61,0.795,9,-7.18,1,0.0793,0.566,0.653,0.14,0.606,123.3,4,3.0153333333333334,1
2EDBrklNK1liiToOmA3MRX,0.621,0.245,4,-17.049,1,0.0349,0.782,0.0634,0.0986,0.17,84.41,4,4.689983333333333,0
1GgHpijHYSB9W0DttkWl42,0.569,0.868,2,-8.09,1,0.0825,0.0402,0.00453,0.122,0.522,145.22,4,3.430883333333333,2
3wObBJcp4H1aRdauMVpZ3T,0.812,0.455,2,-9.5,1,0.0374,0.812,0.00202,0.137,0.617,143.932,4,4.30845,0
34XAoYQLTktBDNdNqXHWU3,0.489,0.516,4,-6.825,0,0.0554,0.549,0.00845,0.229,0.323,140.41,4,5.288216666666667,0
38cVwEk0vADqYYzIaTBIOh,0.414,0.496,11,-10.856,0,0.0313,0.133,0.0326,0.156,0.7,129.528,4,5.214,0
170lW4ylGoFGh2i3V4Nxo4,0.67,0.423,7,-11.59,1,0.043,0.288,0.000144,0.338,0.577,94.01,4,4.721533333333333,0
5pwjQJxijcmGoPksmZGB7j,0.669,0.263,0,-16.916,1,0.0331,0.838,0.0972,0.349,0.649,103.683,4,3.3513333333333333,0
5yh5TEXBQ7Dh3d7zohDiRI,0.529,0.718,9,-10.214,0,0.125,0.114,5.04e-06,0.138,0.411,98.547,4,3.509116666666667,1
5dnDyi99FZqgHsXffucMyw,0.499,0.436,7,-10.655,1,0.0267,0.51,0.0,0.127,0.616,103.778,4,4.244883333333333,0
22zbIHyohxIxa8Vp964l7l,0.437,0.599,0,-7.634,1,0.0501,0.717,0.00103,0.129,0.483,83.231,4,5.741116666666667,0
3qK6tojeaTgkcW9QIQbWRE,0.506,0.873,2,-8.2,1,0.0475,0.0113,6.97e-05,0.0844,0.379,112.113,4,4.6353333333333335,2
