track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,track_popularity,artist_popularity,duration_min,pop_label
3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,6,-8.412,0,0.0298,0.00277,0.008,0.0625,0.621,123.296,4,78,80,5.526,2
3ZpWy5rBZv2aLQAldnmTsP,0.511,0.972,10,-3.751,1,0.0413,5.36e-06,0.00101,0.19,0.532,132.97,4,67,80,5.08155,2
7lwvxYumAEo10lzAplRGXM,0.531,0.583,7,-9.47,1,0.0256,0.0184,0.00624,0.255,0.207,139.503,4,67,80,6.4526666666666666,2
3pwmJJRlr8nXNN9PFD18np,0.386,0.996,11,-2.96,0,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,4,53,80,3.428,0
5UaDi8KzCGJqFfVAOBfXhi,0.624,0.876,7,-6.005,1,0.0342,0.000926,0.00164,0.0561,0.453,89.24,4,69,80,5.41,1
6ZCh9hBeFzMIPycRnyPqZT,0.425,0.972,4,-3.448,0,0.045,2.42e-05,0.0202,0.239,0.282,101.125,4,46,80,5.50755,0
3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4,91,86,4.4462166666666665,2
1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,88,86,4.03955,2
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4,87,78,4.1193333333333335,2
75JFxkI2RXiU7L9VXzMkle,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,4,86,86,5.16,2
6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,86,86,4.645316666666667,2
3RiPr603aXAoi4GHyXx0uy,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4,85,86,4.30445,2
46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1,-6.268,0,0.0406,0.0114,0.0,0.328,0.47,105.006,4,82,86,3.7699666666666665,2
2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,83,79,4.140216666666666,2
0DiWol3AO6WpXZgp0goxAV,0.613,0.697,2,-8.618,1,0.133,0.0194,0.0,0.332,0.476,122.746,4,79,79,5.339283333333333,2
69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,4,76,79,6.16045,2
5W3cjX2J3tjhG8zb6u0qHn,0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4,73,79,3.744883333333333,2
5CMjjywI0eZMixPeqNd75R,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4,70,79,5.898216666666666,2
60a0Rd6pjrkxjPbaKzXjfq,0.556,0.864,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.143,4,88,83,3.6146666666666665,2
18lR4BzEs7e3qzc0KVkTpU,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4,83,83,3.426883333333333,2
3K4HG9evC7dg3N0R9cYqk4,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,4,82,83,2.622216666666666,2
4Yf5bqU3NK4kNOypcrLYwU,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,82,83,2.71,2
57BrRMwf9LrcmuOsyGilwr,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,4,79,83,3.482666666666667,2
7oVEtyuv9NBmnytsCIsY5I,0.585,0.972,9,-4.45,0,0.0534,0.0143,0.0,0.0707,0.585,110.006,4,77,83,3.83755,2
70LcF31zb1H0PyJoS1Sx1r,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,4,89,79,3.977333333333333,2
10nyNJ6zNy2YVYLrcwLccB,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,4,84,79,3.818666666666666,2
63OQupATfueTdZMWTxW03A,0.36,0.501,7,-9.129,1,0.0258,0.0638,9.32e-05,0.172,0.324,74.807,4,78,79,4.401116666666667,2
0YJ9FWWHn9EfnN0lHwbzvV,0.462,0.832,11,-6.085,0,0.0479,0.108,0.00416,0.0741,0.807,165.653,4,76,79,4.148216666666666,2
73CKjW3vsUXRpy3NnX4H7F,0.463,0.229,2,-12.592,1,0.0297,0.167,0.0997,0.202,0.135,73.543,4,74,79,4.845116666666667,2
1dyTcli07c77mtQK3ahUZR,0.291,0.767,7,-6.913,0,0.0862,0.000401,0.012,0.0763,0.359,175.702,4,75,79,3.9133333333333336,2
2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4,86,79,3.473333333333333,2
57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,4,86,79,4.881333333333333,2
2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,84,79,3.502883333333333,2
69QHm3pustz01CJRwdo20z,0.389,0.873,4,-4.768,0,0.0475,0.00532,0.0055,0.273,0.303,106.767,4,76,79,5.204883333333333,2
2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,4,75,79,3.86555,2
0C80GCp0mMuBzLf3EAXqxv,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,4,75,79,5.29045,2
7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,4,74,79,5.02045,2
4feXJ5IC3avXsVW9WNFSag,0.547,0.931,2,-2.356,1,0.0615,0.000998,0.0118,0.278,0.697,118.4,4,72,79,4.35845,2
2H1047e0oMSj10dgp7p2VG,0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,4,78,78,4.818883333333333,2
0YJW8OXw8G1xDfkzaID3vv,0.831,0.868,11,-5.282,1,0.0325,0.176,0.0,0.184,0.483,131.971,4,69,78,3.2406333333333333,2
0xmjwnQ3FNE6HuWCt2nHdZ,0.834,0.699,5,-3.222,1,0.178,0.111,0.0,0.131,0.809,94.086,4,82,78,4.542216666666667,2
3JA9Jsuxr4xgHXEawAdCp4,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,4,79,78,3.6571166666666666,2
6wOYnPq1hPihRepcDClPUw,0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4,71,78,4.73955,2
7J1uxwnxfQLu4APicE5Rnj,0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4,80,80,4.903783333333333,2
5BKKy9fIJL5uM9fz1SnqyP,0.608,0.756,7,-2.675,0,0.176,0.0784,0.0,0.187,0.55,176.086,4,79,80,4.091783333333334,2
3BovdzfaX4jb5KFQwoPfAw,0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4,78,80,4.306666666666667,2
5T7ywazdGIydr6JCW6t02j,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4,74,80,4.296,2
7oOOI85fVQvVnK5ynNMdW7,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91e-05,0.158,0.848,114.031,4,78,80,3.6771166666666666,2
46eu3SBuFCXWsPT39Yg3tJ,0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,4,77,80,6.091116666666666,2
3wuCCNCnBhJlwkIJTBZFiv,0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,4,75,80,4.736,2
4jnFqNWeJCeCRHc4HCdxfd,0.831,0.921,5,-2.383,0,0.0582,0.153,0.00224,0.305,0.795,108.002,4,75,80,3.987116666666666,2
76HKOVWqsEg26SECtmw7Rz,0.877,0.854,1,-4.523,1,0.147,0.0544,5.5e-05,0.144,0.54,114.472,4,67,80,4.968666666666667,2
48td6xvpokdYwvbl3JIiXP,0.775,0.719,7,-6.212,0,0.0435,0.132,1.79e-06,0.0662,0.712,117.513,4,73,80,4.10045,2
1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4,84,79,4.04555,2
6sZo5nJIsFWXefRCCexpx0,0.668,0.802,5,-4.005,0,0.0917,0.0273,0.0,0.163,0.769,113.796,4,74,79,3.76315,2
1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,4,81,79,3.3826666666666667,2
1jF7IL57ayN4Ity3jQqGu0,0.674,0.628,2,-7.079,1,0.03,0.00144,0.0,0.0944,0.552,103.998,4,80,79,4.131783333333333,2
0JiY190vktuhSGN6aqJdrt,0.534,0.87,11,-3.078,0,0.0425,0.000334,0.0,0.241,0.462,126.019,4,79,79,3.586,2
0Qh38w01QRXK6KHIv0e3hb,0.491,0.588,1,-6.177,1,0.0506,0.0281,2.01e-06,0.0906,0.193,113.608,4,78,79,4.493333333333333,2
0UKUfxIkDAMZz7hMdiVX3m,0.473,0.592,5,-6.859,1,0.138,0.0528,0.0,0.131,0.292,159.7,4,68,79,2.30955,2
4FWbsd91QSvgr1dSWwW51e,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,4,81,79,3.953333333333333,2
2hns6Dv29Yrg68AVTJiAyA,0.688,0.734,9,-4.569,1,0.0274,0.00462,0.0,0.0756,0.46,140.004,4,77,79,3.474883333333333,2
561jH07mF1jHuk7KlaeF0s,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,4,90,88,4.179333333333333,2
7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,4,89,88,4.838666666666667,2
4woTEX1wYOTGDqNXuavlRC,0.802,0.755,4,-3.138,0,0.0564,0.0215,0.0,0.295,0.58,130.027,4,87,88,5.838666666666667,2
4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4,86,88,4.963116666666667,2
3UmaczJpikHgJFyBTAJVoz,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063,4,84,88,6.735116666666666,2
15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,4,85,88,4.38955,2
3CpoeW0cZSDzIRv5z34F87,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,4,79,88,5.659116666666667,2
60nZcImufyMA1MKQY3dcCH,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,4,83,78,3.878666666666666,2
5bcTCxgc7xVfSaMV3RuVke,0.893,0.745,11,-3.105,0,0.0571,0.0642,0.0,0.0943,0.872,101.018,4,78,84,3.72355,2
3S68RFe1lsdCdTMPIMJM3X,0.877,0.56,7,-3.751,1,0.0596,0.00721,1.45e-06,0.0839,0.154,119.971,4,74,78,3.6022666666666665,2
6clzeGvi1CFioMOolbAOlX,0.81,0.733,9,-6.338,1,0.0444,0.276,6.73e-06,0.288,0.9,125.975,4,64,84,3.821383333333333,0
7Bar1kLTmsRmH6FCKKMEyU,0.679,0.516,0,-6.371,0,0.0452,0.199,0.0,0.0965,0.716,120.074,4,72,87,3.3668,2
1MJErNPIQUoEMu4YUUmecm,0.859,0.563,1,-6.635,0,0.112,0.0541,0.0,0.0685,0.412,119.934,4,72,85,4.31315,2
0iFOG4Ki9aDmJUYUFHQlPG,0.894,0.404,9,-5.913,0,0.13,0.453,1.57e-06,0.0801,0.759,102.009,4,69,78,3.941783333333333,1
10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,4,82,81,2.59315,2
7vGuf3Y35N4wmASOKLUVVU,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,4,82,81,3.013716666666667,2
5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,4,82,82,3.375783333333333,2
7FGq80cy8juXBCD2nrqdWU,0.632,0.686,6,-7.665,0,0.243,0.549,0.0,0.2,0.329,89.949,4,81,69,2.8461666666666665,2
6zeeWid2sgw4lap2jV61PZ,0.596,0.552,0,-10.278,0,0.097,0.0765,0.334,0.104,0.112,97.949,4,76,82,3.822,2
5bgwqaRSS3M8WHWruHgSL5,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,4,77,82,3.81,2
70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,4,76,87,3.2977833333333333,2
45Egmo7icyopuzJN0oMEdk,0.708,0.648,6,-5.626,1,0.0449,0.0956,0.0,0.134,0.338,143.955,4,76,82,3.3617833333333333,2
4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,4,88,83,3.63815,2
3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,4,86,85,3.634883333333333,2
6bNB5gxFX6Q87DbQWb8OWZ,0.758,0.871,2,-6.408,1,0.147,0.0062,0.0,0.0663,0.753,126.994,4,70,85,3.3771166666666668,2
7kDUspsoYfLkWnZR7qwHZl,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,4,77,76,2.32435,2
2gTdDMpNxIRFSiu7HutMCg,0.628,0.744,7,-4.718,1,0.0379,0.0257,0.0,0.313,0.277,119.921,4,74,76,2.823283333333334,2
25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014,4,74,76,2.835566666666667,2
0OI7AFifLSoGzpb8bdBLLV,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034,4,73,76,3.3800833333333333,2
1VSuFS7PahCN3SWbOcQ98m,0.654,0.875,1,-4.845,1,0.0744,0.000417,0.0086,0.194,0.522,99.975,4,73,76,2.86035,2
6mADjHs6FXdroPzEGW6KVJ,0.533,0.858,2,-4.212,1,0.0766,0.00021,0.0,0.148,0.506,160.057,4,71,76,3.4193166666666666,2
1PSBzsahR2AKwLJgx8ehBj,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,4,73,76,3.9882166666666654,2
50eJOxJiGmJ7PBZaTKpje1,0.665,0.678,5,-4.122,0,0.0315,0.00156,0.0,0.474,0.682,131.986,4,68,76,2.0428333333333333,1
0c34ovpXiMWWUbKX0IavIH,0.721,0.632,5,-6.695,0,0.0358,0.0693,0.0,0.291,0.296,92.057,4,73,78,2.414333333333333,2
1T4tQ4SSagbhAKpvcWg035,0.742,0.617,2,-6.689,1,0.0345,0.05,5.92e-05,0.0711,0.491,147.002,4,67,76,2.0698,1
03LfOYi0icz4souspZVVhq,0.627,0.849,1,-3.167,0,0.153,0.0913,0.0,0.145,0.818,89.907,4,68,83,2.634783333333333,1
5Fim1gaXBgsiFfsQAfQSDS,0.832,0.608,6,-6.042,0,0.0385,0.282,0.0,0.0761,0.589,94.013,4,74,80,3.311783333333333,2
6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,85,82,3.09555,2
0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522,4,74,82,3.0382166666666666,2
4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,4,85,81,4.205116666666667,2
3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,4,84,81,3.4026666666666667,2
0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,4,80,81,3.8251166666666654,2
62zFEHfAYl5kdHYOivj4BC,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,4,78,81,3.788,2
4Y7XAxTANhu3lmnLAzhWJW,0.761,0.933,10,-5.38,1,0.056,0.0908,8.53e-05,0.0607,0.836,122.959,4,77,81,3.9366666666666665,2
1PCvKFPWnTXAe2oaReVUcr,0.592,0.935,6,-4.317,0,0.0581,0.00879,0.0154,0.132,0.567,125.013,4,73,81,3.708666666666667,2
0OPyDgTRuIdCJ9B4bYSths,0.85,0.631,1,-8.401,1,0.227,0.00684,0.000406,0.0679,0.738,126.002,4,74,81,3.96,2
3rfhI32Il2hVRKDkuGeeen,0.595,0.912,10,-3.428,0,0.0884,0.0434,0.0,0.259,0.762,128.024,4,78,81,3.90755,2
5Pg4qYTcvCUBBq3jBhKq0t,0.898,0.677,11,-6.422,0,0.243,0.0223,0.0,0.35,0.578,130.027,4,69,85,2.574883333333333,2
48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,4,83,79,3.6862666666666666,2
58dGRQrNmAJeRMFuguUbvD,0.801,0.764,2,-5.112,1,0.0986,0.109,1.62e-05,0.247,0.578,89.999,4,70,59,2.569183333333333,2
6bK9BH9Ts8Gj5JFvnQkzak,0.741,0.824,10,-4.143,0,0.0352,0.614,0.0,0.158,0.725,100.216,4,79,79,3.5277666666666665,2
1zZIGnXIcDKU8QIUkR20nK,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4,58,79,3.79645,2
6k8uthjEbttfWXcGaNTQGD,0.711,0.761,8,-3.04,1,0.225,0.067,0.0,0.041,0.718,95.824,4,54,79,4.064666666666667,0
2ykXJ9QVwx9Li8nsW0h6b2,0.812,0.712,0,-5.993,0,0.0452,0.01,0.0,0.108,0.85,98.029,4,68,69,2.4824,1
3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,4,56,76,2.152883333333333,0
1H5IfYyIIAlgDX8zguUzns,0.487,0.382,7,-10.889,1,0.0309,0.0422,4.74e-06,0.411,0.714,116.557,4,75,76,4.354666666666667,2
7zMUCLm1TN9o9JlLISztxO,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,4,76,76,2.838216666666667,2
452KBpASS5lZLeJWX9Ixub,0.623,0.537,10,-10.014,0,0.0726,0.332,1.4e-05,0.0963,0.905,166.885,4,73,76,2.4488833333333333,2
1GEGKdhnYoQYZ2cvbo5XPM,0.481,0.733,5,-7.633,1,0.165,0.573,1.17e-05,0.108,0.874,122.903,4,61,76,2.34045,0
0Z2J91b2iTGLVTZC4fKgxf,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,4,83,78,5.21045,2
5g9lS8deSIxItFBmZRC4vN,0.801,0.91,2,-6.566,1,0.225,0.00239,0.000891,0.0737,0.805,87.277,4,80,78,4.639783333333333,2
3ia3dJETSOllPsv3LJkE35,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519,4,81,78,4.74845,2
4VQNCzfZ3MdHEwwErNXpBo,0.872,0.723,1,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,4,80,78,5.12955,2
4AE7Lj39VnSZNOmGH2iZaq,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,4,77,78,4.693333333333333,2
1ofhfV90EnYhEr7Un2fWiv,0.865,0.665,7,-6.289,1,0.073,0.0453,0.0,0.224,0.331,111.113,4,77,78,4.48045,2
6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,1,0.103,0.371,0.0,0.131,0.322,84.115,4,73,78,4.666666666666667,2
6LwrEZNkvFTOypNwSLjuaJ,0.849,0.904,8,-4.78,1,0.138,0.0248,5.11e-05,0.0545,0.854,99.258,4,72,78,4.108883333333333,2
7rUchbZxrhF29Q0vYjKEU0,0.795,0.852,0,-2.238,1,0.178,0.0442,3.47e-06,0.39,0.673,95.44,4,71,78,5.512666666666667,2
0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,4,76,69,2.8785666666666665,2
6YbhspuOar1D9WSSnfe7ds,0.553,0.652,0,-6.685,1,0.206,0.0897,0.0,0.111,0.551,94.505,4,70,81,3.455783333333333,2
2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,4,78,81,4.43445,2
3i1B1PnsfnOQPGVIzhf1lr,0.723,0.732,11,-5.514,1,0.0864,0.11,0.0,0.484,0.503,104.991,4,68,73,3.3291166666666667,1
6CPAznSrkDmiPBgLXoi00f,0.718,0.768,7,-7.87,1,0.25,0.0988,0.0,0.0957,0.591,164.038,4,60,88,3.5624166666666666,0
0R7YVi7w41Dr9jU5vblAok,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02,4,71,81,3.26645,2
7FrJV8tydWEv1Mxu2mIQrm,0.907,0.695,11,-6.268,0,0.135,0.246,0.0,0.0808,0.961,101.007,4,70,81,4.971783333333334,2
2yGk5A4oipC4jvDLIVlQIJ,0.861,0.48,7,-8.433,1,0.0512,0.0459,0.0,0.351,0.278,99.972,4,58,81,2.9806666666666666,0
0RcYEWXtbu4ehdv1tiBOi0,0.878,0.786,11,-5.273,0,0.152,0.416,3.1e-05,0.122,0.831,101.984,4,67,81,6.370666666666667,1
2XHzzp1j4IfTNp1FTn7YFg,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,4,84,84,4.250883333333333,2
5hUYsaOyMY32yjRXeuQwGj,0.328,0.622,5,-7.291,0,0.0866,0.858,0.0,0.104,0.401,74.267,4,76,84,3.80155,2
1pm7lQGl6mvKWDxesZTVFp,0.832,0.43,0,-9.39,1,0.0826,0.0606,0.00323,0.124,0.462,148.074,4,67,84,4.988883333333333,2
1xPW9rS8dkuJP46WBTqU2C,0.663,0.688,6,-8.659,0,0.283,0.0391,0.00224,0.223,0.731,151.589,4,69,84,3.6968833333333335,1
3vWzyGTu6Ovo1GdrcJqH6e,0.443,0.623,0,-6.717,0,0.0718,0.0468,0.0,0.247,0.156,79.365,4,75,84,3.883333333333333,2
1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,4,83,81,3.6291166666666665,2
3S4px9f4lceWdKf0gWciFu,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4,72,81,3.5277833333333333,2
4xigPf2sigSPmuFH3qCelB,0.603,0.615,11,-4.931,0,0.165,0.0799,6.72e-05,0.117,0.561,158.657,4,80,81,3.561783333333333,2
5S9lfZu1YF8xKkgSsqL2Bd,0.421,0.791,9,-4.998,1,0.0496,0.0117,1.48e-05,0.146,0.499,130.075,4,69,81,4.286666666666667,2
0F3v8p8ZnEGtZDxNcJ5Klq,0.678,0.744,6,-4.058,0,0.234,0.495,2.35e-05,0.0631,0.433,101.987,4,75,81,2.7058833333333334,2
5cpJFiNwYyWwFLH0V6B3N8,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,4,75,85,3.5751166666666667,2
1N1ZpYUJc9fwrqk53FGgWv,0.547,0.814,1,-6.191,1,0.12,0.0215,0.0,0.0475,0.724,92.986,4,54,81,3.421116666666667,0
0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,87,80,4.296666666666667,2
254bXAqt3zP6P50BdQvEsq,0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4,83,80,3.77755,2
