video_id,comment_count,like_count,view_count,rate_v_c,rate_v_l,rate_c_l,outlier,comment_bin,like_bin,view_bin
-5u4SjpxVLo,1339,43574,11048539,-0.013,-0.036,-0.039,1,0,0,0
pQtqVTmFmOw,706,17737,2608912,-0.037,-0.037,-0.039,1,0,0,0
stzCyYFjNCA,1004,53513,12538517,0.009,-0.036,-0.039,1,1,1,1
c12Ndq_b3_0,472,11318,2664310,-0.027,-0.036,-0.039,1,0,0,0
dsRv-oaZdBM,1086,15242,5593850,-0.029,-0.036,-0.039,1,3,3,2
sKljOD5B71k,199,11102,1090897,-0.028,-0.037,-0.039,1,2,2,2
al21Vtlsg4A,4028,73895,14627614,-0.037,-0.036,-0.039,1,1,1,1
gqo46lt-8Q4,1936,28543,2208751,-0.05,-0.037,-0.039,1,1,1,1
WIjWaulrLjs,1409,21412,1775998,-0.049,-0.037,-0.039,1,0,0,0
UOSEq1n8bYg,562,18296,2608273,-0.032,-0.037,-0.039,1,1,0,0
aqiqXTA7hX4,136,10215,816524,-0.025,-0.037,-0.039,1,0,0,0
bL_Zea-q23Y,791,9461,2071709,-0.042,-0.036,-0.039,1,0,0,0
c4ciBeyOv4E,12,349,23831,-0.047,-0.037,-0.039,1,1,1,0
EwEYTrlVbPk,655,12075,971040,-0.048,-0.037,-0.039,1,4,4,4
xCFEk6Y8TmM,9223,217587,32102657,-0.038,-0.037,-0.039,1,4,4,3
qQdnl0_IuRg,6062,133169,14514152,-0.044,-0.037,-0.039,1,4,4,4
8vb_xHWgb2s,1113,31543,5572572,-0.03,-0.037,-0.039,1,3,3,2
pu7zWrIMV_g,2720,134270,18788223,-0.02,-0.037,-0.039,1,3,4,3
cWc7vYjgnTs,22775,653465,61040634,-0.042,-0.037,-0.039,1,2,2,2
GaB9F3R9cIY,30883,992366,92985708,-0.04,-0.037,-0.039,1,2,2,2
eQSNVBLTXYY,1641,65077,8282115,-0.03,-0.037,-0.039,1,3,3,3
OR74idpsweg,16093,685332,95445742,-0.025,-0.037,-0.039,1,3,3,3
l-FxY25lYzY,49814,1578061,270206378,-0.028,-0.037,-0.039,1,1,1,2
lBceTwMECxY,6935,366354,55985462,-0.014,-0.037,-0.039,1,3,2,3
e4Ez99gCOiY,2076,130214,8533408,-0.035,-0.037,-0.039,1,1,1,2
EovGMtj4BPA,2543,99143,8012797,-0.04,-0.037,-0.039,1,3,2,2
U2iGXPtbk9o,838,47217,5620332,-0.021,-0.037,-0.039,1,1,1,1
_i0Zw7XlAKg,454,30791,4022831,-0.01,-0.037,-0.039,1,1,1,2
4BVWHiQ7WfQ,80,2868,121448,-0.048,-0.037,-0.039,1,2,2,1
beINamVRGy4,9417,236422,30347484,-0.039,-0.037,-0.039,1,3,3,3
gRYZijLZR-Q,6183,137620,14085142,-0.044,-0.037,-0.039,1,2,3,2
gl-JGJp-_CM,3167,66800,9369807,-0.041,-0.037,-0.039,1,1,2,2
rE1oIhSgTgI,7617,201258,32140992,-0.034,-0.037,-0.039,1,3,2,2
hZPtFIJl8zM,31,210,23242,-0.052,-0.037,-0.039,1,2,2,2
zP72VIL2IRI,618,10288,1163814,-0.046,-0.037,-0.039,1,0,0,0
y6FuLs9uKJA,25,438,35575,-0.049,-0.037,-0.039,1,0,0,0
xBk509ntyUs,1036,19293,2443699,-0.044,-0.037,-0.039,1,1,2,1
KWkcSDnTWd4,54,490,36886,-0.053,-0.037,-0.039,1,3,3,2
KG0t2E3qV2U,65,248,58443,-0.051,-0.036,-0.038,1,3,3,3
zTSXiF_cxG8,947,42667,1278602,-0.049,-0.037,-0.039,1,3,3,3
ZJR8tuO-mIU,362,30814,2562767,-0.019,-0.037,-0.039,1,4,4,3
hEu-5Pwq5Js,217,8655,446176,-0.045,-0.037,-0.039,1,1,1,1
hNFM2f4BvAo,485,44958,4151423,-0.012,-0.037,-0.039,1,0,0,0
BM8gC3Oj0OA,898,131585,9614372,-0.0,-0.037,-0.039,1,1,0,0
