track_id,track_popularity,artist_popularity
4woTEX1wYOTGDqNXuavlRC,87,88
4xkOaSrkexMciUUogZKVTS,86,88
3UmaczJpikHgJFyBTAJVoz,84,88
15JINEqzVMv3SvJTAXAKED,85,88
7FIWs0pqAYbP91WWM0vlTQ,84,88
3CpoeW0cZSDzIRv5z34F87,79,88
7Ie9W94M7OjPoZVV216Xus,81,88
60nZcImufyMA1MKQY3dcCH,83,78
5unjCay0kUjuej5ebn4nS4,72,78
5bcTCxgc7xVfSaMV3RuVke,78,84
3S68RFe1lsdCdTMPIMJM3X,74,78
6clzeGvi1CFioMOolbAOlX,64,84
7Bar1kLTmsRmH6FCKKMEyU,72,87
1MJErNPIQUoEMu4YUUmecm,72,85
7z4xW9WY86uH3gd1V9pfCM,68,83
0DGTcMqvVR7fmBXgiG6jz4,67,78
0iFOG4Ki9aDmJUYUFHQlPG,69,78
0u2P5u6lvoDfwTYjAADbn4,90,88
10xV5l9nhLvFpR8mqzs0bL,82,81
7vGuf3Y35N4wmASOKLUVVU,82,81
5Z3GHaZ6ec9bsiI5BenrbY,82,82
7FGq80cy8juXBCD2nrqdWU,81,69
6zeeWid2sgw4lap2jV61PZ,76,82
152lZdxL1OR0ZMW6KquMif,79,82
5bgwqaRSS3M8WHWruHgSL5,77,82
70eFcWOvlMObDhURTqT4Fv,76,87
45Egmo7icyopuzJN0oMEdk,76,82
4nrPB8O7Y7wsOCJdgXkthe,88,83
6G12ZafqofSq7YtrMqUm76,83,85
2rurDawMfoKP4uHyb2kJBt,83,85
3ZFTkvIE7kyPt6Nu3PEa7V,86,85
6bNB5gxFX6Q87DbQWb8OWZ,70,85
0YJW8OXw8G1xDfkzaID3vv,69,78
0OEBOJhSObnFuHuasXdt52,80,85
6mICuAdrwEjh6Y6lroV2Kg,78,85
78dbqYDvx6FOefROApu9w0,78,85
0KAqMRUSZwzG3dZLdDA4eH,78,85
7kDUspsoYfLkWnZR7qwHZl,77,76
2gTdDMpNxIRFSiu7HutMCg,74,76
25wdC7CJmCJPgnKw9rYquJ,74,76
0OI7AFifLSoGzpb8bdBLLV,73,76
1VSuFS7PahCN3SWbOcQ98m,73,76
6mADjHs6FXdroPzEGW6KVJ,71,76
1PSBzsahR2AKwLJgx8ehBj,73,76
50eJOxJiGmJ7PBZaTKpje1,68,76
0c34ovpXiMWWUbKX0IavIH,73,78
1T4tQ4SSagbhAKpvcWg035,67,76
5YUyW9opqNsMSEzzecZih1,77,80
7qCAVkHWZkF44OzOUKf8Cr,77,80
0ERbK7qVqveCaBWIiYCrl3,75,80
03LfOYi0icz4souspZVVhq,68,83
7anSoGdgtmJTAPZBzcPhO6,73,73
2Eg6dOam7cAe5turf2bnCg,77,80
20yLo8tCAM1LXixAdBf3f2,69,74
5Fim1gaXBgsiFfsQAfQSDS,74,80
3eSJmGWqoBRx5wbFCtvPtz,71,62
0tIpUUbOYIWqvI50Ksf7D5,74,59
6dGnYIeXmHdcikdzNNDMm2,85,82
7iN1s7xHE4ifF5povM6A48,79,82
2EqlS6tkEnglzr7tkKAAYD,79,82
3BQHpFgAp4l80e1XslIjNI,78,82
5ZBeML7Lf3FMEVviTyvi8l,79,82
5jgFfDIR6FR0gvlA56Nakr,77,82
3KfbEIOC7YIv90FIfNSZpo,77,82
0aym2LBJBk9DAYuHHutrIl,73,82
4pbG9SUmWIvsROVLF0zF9s,70,82
0pNeVovbiZHkulpGeOx1Gj,74,82
4QNpBfC0zvjKqPJcyqBy9W,85,81
3cHyrEgdyYRjgJKSOiOtcS,84,81
2bJvI42r8EF3wxjOuDav4r,83,81
0Hf4aIJpsN4Os2f0y0VqWl,80,81
62zFEHfAYl5kdHYOivj4BC,78,81
4Y7XAxTANhu3lmnLAzhWJW,77,81
1PCvKFPWnTXAe2oaReVUcr,73,81
0OPyDgTRuIdCJ9B4bYSths,74,81
3rfhI32Il2hVRKDkuGeeen,78,81
5Pg4qYTcvCUBBq3jBhKq0t,69,85
48QmG1dfvMuYLxMPt7KSRA,83,79
0k2GOhqsrxDTAbFFSdNJjT,83,79
58dGRQrNmAJeRMFuguUbvD,70,59
6bK9BH9Ts8Gj5JFvnQkzak,79,79
1zZIGnXIcDKU8QIUkR20nK,58,79
6YB6CK4Tsb0BgtxCEL9KlI,69,79
6k8uthjEbttfWXcGaNTQGD,54,79
5lJx5eiSahFfsqkMJVlkDN,73,79
2ykXJ9QVwx9Li8nsW0h6b2,68,69
37eGbhE1xVFSvcKkqGb6i1,67,79
44AyOl4qVkzS48vBsbNXaC,81,76
3QiAAp20rPC3dcAtKtMaqQ,56,76
7n7VsX3sv66znBwA8b5uhp,54,76
1H5IfYyIIAlgDX8zguUzns,75,76
7zMUCLm1TN9o9JlLISztxO,76,76
1B5Tp2Ml9nLlmTSJx8xVfI,72,76
3C6pSIVeBKIbSpCFtaw1r8,67,76
452KBpASS5lZLeJWX9Ixub,73,76
7KWoeBqSdZHEloYKVxssfG,68,76
1GEGKdhnYoQYZ2cvbo5XPM,61,76
0Z2J91b2iTGLVTZC4fKgxf,83,78
5g9lS8deSIxItFBmZRC4vN,80,78
3ia3dJETSOllPsv3LJkE35,81,78
4VQNCzfZ3MdHEwwErNXpBo,80,78
4AE7Lj39VnSZNOmGH2iZaq,77,78
1ofhfV90EnYhEr7Un2fWiv,77,78
6tDxrq4FxEL2q15y37tXT9,73,78
0XRbYXQUymj9SJkrr8YK5B,72,78
6LwrEZNkvFTOypNwSLjuaJ,72,78
7rUchbZxrhF29Q0vYjKEU0,71,78
0xzI1KAr0Yd9tv8jlIk3sn,76,69
6YbhspuOar1D9WSSnfe7ds,70,81
2NBQmPrOEEjA8VbeWOQGxO,78,81
3i1B1PnsfnOQPGVIzhf1lr,68,73
6CPAznSrkDmiPBgLXoi00f,60,88
0R7YVi7w41Dr9jU5vblAok,71,81
7FrJV8tydWEv1Mxu2mIQrm,70,81
2yGk5A4oipC4jvDLIVlQIJ,58,81
2RxC2peY3FtrurYmbbmanr,3,77
0RcYEWXtbu4ehdv1tiBOi0,67,81
2XHzzp1j4IfTNp1FTn7YFg,84,84
4dASQiO1Eoo3RJvt74FtXB,76,84
5hUYsaOyMY32yjRXeuQwGj,76,84
5UsLjwBaTHBX4ektWIr4XX,76,95
5Qy6a5KzM4XlRxsNcGYhgH,74,84
1pm7lQGl6mvKWDxesZTVFp,67,84
1xPW9rS8dkuJP46WBTqU2C,69,84
3vWzyGTu6Ovo1GdrcJqH6e,75,84
1T4tQ4SSagbhAKpvcWg035,67,76
1kMuU3TNQvHbqvXCWBodmP,72,84
7uoFMmxln0GPXQ0AcCBXRq,78,81
1yvMUkIOTeUNtNWlWRgANS,83,81
2s1sdSqGcKxpPr5lCl7jAV,73,81
3e7sxremeOE3wTySiOhGiP,80,75
3S4px9f4lceWdKf0gWciFu,72,81
4xigPf2sigSPmuFH3qCelB,80,81
5S9lfZu1YF8xKkgSsqL2Bd,69,81
0F3v8p8ZnEGtZDxNcJ5Klq,75,81
5cpJFiNwYyWwFLH0V6B3N8,75,85
1N1ZpYUJc9fwrqk53FGgWv,54,81
0ofHAoxe9vBkTCp2UQIavz,87,80
5e9TFTbltYBg2xThimr0rU,84,80
254bXAqt3zP6P50BdQvEsq,83,80
07GvNcU1WdyZJq3XxP0kZa,82,80
5ihS6UUlyQAfmp48eSkxuQ,80,80
4bEb3KE4mSKlTFjtWJQBqO,79,80
4CoSCPlKNrWli7E5kFtbcl,76,80
05oETzWbd4SI33qK2gbJfR,76,80
19Ym5Sg0YyOCa6ao21bdoG,75,80
19Shlms2uTnOjIUg50TXzd,76,80
0GjEhVFGZW8afUYGChu3Rr,86,78
3vkQ5DAB1qQMYO4Mr9zJN6,83,78
2TxCwUlqaOH3TIyJqGgR91,80,78
