id,video_num,video_id,comment_text
8DyziWtkfBw0,12,8DyziWtkfBw,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
8DyziWtkfBw1,12,8DyziWtkfBw,Klitschko song😂
8DyziWtkfBw2,12,8DyziWtkfBw,Los mercenarios 4
8DyziWtkfBw3,12,8DyziWtkfBw,"“Sir uhm someone appears to have broken into the warehouse”
is
“Oh it’s just them let them be”"
8DyziWtkfBw4,12,8DyziWtkfBw,Cant stop 👂🤘👽
mzJj5-lubeM0,13,mzJj5-lubeM,Aftermath of rocking really hard in the West Coast...
mzJj5-lubeM1,13,mzJj5-lubeM,Did they base that new FF game of this video?
mzJj5-lubeM2,13,mzJj5-lubeM,You found out my knife at bAdforce nCCPS6
mzJj5-lubeM3,13,mzJj5-lubeM,Love this song
mzJj5-lubeM4,13,mzJj5-lubeM,Absolutely love the guitar at 3:07 - 3:19
rn_YodiJO6k0,14,rn_YodiJO6k,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
rn_YodiJO6k1,14,rn_YodiJO6k,"2023 tetap nonton,, favorit🎉🎉🎉"
rn_YodiJO6k2,14,rn_YodiJO6k,"Чел снаркоманился до такой степени что ему пришлось пересаживать кожу на руках, а мышцы отрафировались, но то что он начал выдавать своими шнурочками еле бряцая по струнам стало шедевром) Как прекрасен наш непредсказуемый мир."
rn_YodiJO6k3,14,rn_YodiJO6k,This songs Edits are incredible
rn_YodiJO6k4,14,rn_YodiJO6k,ben istanbula kaçar
yuFI5KSPAt40,15,yuFI5KSPAt4,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
yuFI5KSPAt41,15,yuFI5KSPAt4,軽く言って最高よな
yuFI5KSPAt42,15,yuFI5KSPAt4,"Everything ucomes to closure, for every fuck nut"
yuFI5KSPAt43,15,yuFI5KSPAt4,RHCP and Smashing Pumpkins have the best music videos.
yuFI5KSPAt44,15,yuFI5KSPAt4,"I play guitar and came across this and am tyinh to perfect the riff, but alongside that i also enjoy this piece so much"
Sb5aq5HcS1A0,16,Sb5aq5HcS1A,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
Sb5aq5HcS1A1,16,Sb5aq5HcS1A,Can someone answer me this and tell me why their song melody sounds like a sped up version of Tom Petty's Mary Jane's Last Dance??
Sb5aq5HcS1A2,16,Sb5aq5HcS1A,"Getting born in the state of Mississippi
Papa was a copper, and her mama was a hippy
In Alabama she would swing a hammer
Price you got to pay when you break the panorama
She never knew that there was anything more than poor
What in the world does your company take me for?
Black bandanna, sweet Louisiana
Robbing on a bank in the state of Indiana
She's a runner
Rebel, and a stunner
On her merry way saying baby, watcha gonna?
Looking down the barrel of a hot metal forty-five
Just another way to survive
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess
I'm your priest
Yeah, yeah, yeah
She's a lover, baby, and a fighter
Should've seen it coming when I got a little brighter
With a name like Dani California
Day was gonna come when I was gonna mourn ya
A little loaded, she was stealing another breath
I love my baby to death
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess
I'm your priest
Yeah, yeah, yeah
Who knew the other side of you?
Who knew that others died to prove?
Too true to say goodbye to you
Too true to say, say, say
Pushed the fader, gifted animator
One for the now, and eleven for the later
Never made it up to Minnesota
North Dakota man
Wasn't gunnin' for the quota
Down in the Badlands she was saving the best for last
It only hurts when I laugh
Gone too fast
California, rest in peace
Simultaneous release
California, show your teeth
She's my priestess
I'm your priest
Yeah, yeah, yeah
California, rest in peace
Simultaneous release
California, show your teeth"
Sb5aq5HcS1A3,16,Sb5aq5HcS1A,"Клип имба, но нету группы kiss"
Sb5aq5HcS1A4,16,Sb5aq5HcS1A,Wouldn't have been super fun if they did ABBA too?
JnfyjwChuNU0,17,JnfyjwChuNU,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
JnfyjwChuNU1,17,JnfyjwChuNU,Incrível.
JnfyjwChuNU2,17,JnfyjwChuNU,This  taxi driver  is an exemple  of how a relationship  with a narcisist can be
JnfyjwChuNU3,17,JnfyjwChuNU,Rock cool 💽🧑‍🎤
JnfyjwChuNU4,17,JnfyjwChuNU,I’ll never understand fucknuts like that
Mr_uHJPUlO80,18,Mr_uHJPUlO8,Som do carai !!!!!!!!
Mr_uHJPUlO81,18,Mr_uHJPUlO8,"Поспели вишни в саду у дяди Вани,
У дядя Вани в саду поспели вишни..."
Mr_uHJPUlO82,18,Mr_uHJPUlO8,Cool 😎
Mr_uHJPUlO83,18,Mr_uHJPUlO8,Not really Into rock music but rhcp hits 😂😂😂 2023
Mr_uHJPUlO84,18,Mr_uHJPUlO8,Flea is a fuckin sex machine with that bass
Q0oIoR9mLwc0,19,Q0oIoR9mLwc,It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.
Q0oIoR9mLwc1,19,Q0oIoR9mLwc,"Самый великий клип , и песня"
Q0oIoR9mLwc2,19,Q0oIoR9mLwc,Não conto mais nada pra vocês vocês não tão nem aí com nada vai direto pra mão do matador
Q0oIoR9mLwc3,19,Q0oIoR9mLwc,I was lucky enough to hear this song on its very first radio debut with my mom who was a big chili peppers fan. To this day nothing in their catalog and nothing i have heard from any other band comes close to the feeling i get from this song. Every time i listen to it is like hearing it for the first time.
Q0oIoR9mLwc4,19,Q0oIoR9mLwc,i had no idea this song was 7 years old!!! i thought it just came out!! time flies thats for sure
5qm8PH4xAss0,20,5qm8PH4xAss,I remember seeing this for the 1st time on tv 😩 I knew he was gon be a problem 😈
5qm8PH4xAss1,20,5qm8PH4xAss,The best of Rap
5qm8PH4xAss2,20,5qm8PH4xAss,"this song is for any generation, 90's 2000's 2010's or even 2050's"
5qm8PH4xAss3,20,5qm8PH4xAss,3:57  EMINEM !!!!!❤
5qm8PH4xAss4,20,5qm8PH4xAss,10 billion who else ❤
SRcnnId15BA0,21,SRcnnId15BA,2023 Anyone?
SRcnnId15BA1,21,SRcnnId15BA,big show lmfao
SRcnnId15BA2,21,SRcnnId15BA,I'm just here because of Mosquito Man
SRcnnId15BA3,21,SRcnnId15BA,[..........................................................][..........................................................][..........................................................]
SRcnnId15BA4,21,SRcnnId15BA,"Это было так давно!! Придумай что нибудь.. Такое же красивое, но современное, без жалости!! Это будет правельно!!"
GllEDACUbNo0,22,GllEDACUbNo,Abre a pipa ao chumbo ou queres ser Zé da pipa o que mais gosto é o que apercia
GllEDACUbNo1,22,GllEDACUbNo,30.09.2023 
GllEDACUbNo2,22,GllEDACUbNo,Böyle başlangıçların hastayım ve aşırı iconik
GllEDACUbNo3,22,GllEDACUbNo,2023 29 de septiembre 🔉🔊🖲💽
GllEDACUbNo4,22,GllEDACUbNo,Fulha b you am Somali
UDApZhXTpH80,23,UDApZhXTpH8,
UDApZhXTpH81,23,UDApZhXTpH8,Old is gold still reminber fuck this ticktock today😂
UDApZhXTpH82,23,UDApZhXTpH8,🇧🇷
UDApZhXTpH83,23,UDApZhXTpH8,👍👍👍👍
UDApZhXTpH84,23,UDApZhXTpH8,Cool
5D3crqpClPY0,24,5D3crqpClPY,I am fun of many men…it is still actual in our society
5D3crqpClPY1,24,5D3crqpClPY,"Bought the album straight away 20 years ago and 2 days ago went with my 15 yo son to the concert here in the Netherlands. 
Rhyme means even more to me know than it did then.
Truth."
5D3crqpClPY2,24,5D3crqpClPY,2023 this still hits harder mfs🥷🏽🔥
5D3crqpClPY3,24,5D3crqpClPY,Still one of the top 10 greatest hip-hop music videos in my personal opinion
5D3crqpClPY4,24,5D3crqpClPY,30th September 2023
GNqYWkiBHHw0,25,GNqYWkiBHHw,Toda mi materia buen todo
GNqYWkiBHHw1,25,GNqYWkiBHHw,Me at 13 years old: 🤪
GNqYWkiBHHw2,25,GNqYWkiBHHw,50 went hard! What happened to real rap music? Nas is the only one left.
GNqYWkiBHHw3,25,GNqYWkiBHHw,"Bouns,😃🤣🤣"
GNqYWkiBHHw4,25,GNqYWkiBHHw,Шутки прикол приколы не надо обижается не получается песочница гулять надо кродил гена я прикалываюсь ха ха ха ха
cDMhlvbOFaM0,26,cDMhlvbOFaM,"##IT'S THE ""GOD"" IN ""ME""❤❤❤❤❤"
cDMhlvbOFaM1,26,cDMhlvbOFaM,Eu tinha um cd black charme nao me lembro qual o vol. Mais era se nao me engano a 2 faixa primeiro amerie depois  50 cent 21 questions nossa mano muito tempo atras kkkkk
cDMhlvbOFaM2,26,cDMhlvbOFaM,I wear a mask a thousand masks
cDMhlvbOFaM3,26,cDMhlvbOFaM,I still love 50's laugh in the beginning when he's counting his money😭
cDMhlvbOFaM4,26,cDMhlvbOFaM,im still playing this for all the hoes who playing wit me
Zl64MRAqQxk0,27,Zl64MRAqQxk,Best combo always 🥹🔥👑🚬
Zl64MRAqQxk1,27,Zl64MRAqQxk,Em is a lyrical genius but a satanic sell out puppet to the industry!
Zl64MRAqQxk2,27,Zl64MRAqQxk,This song deserve billion views
Zl64MRAqQxk3,27,Zl64MRAqQxk,R I P to R A P is such a gnarly intro
Zl64MRAqQxk4,27,Zl64MRAqQxk,Who doesn't
_vUC0-V2k1E0,28,_vUC0-V2k1E,🔥lyric
_vUC0-V2k1E1,28,_vUC0-V2k1E,As músicas de 50 Cent fizeram-me companhia numa fase marcante da minha trajectória de vida... Love untill i die.
_vUC0-V2k1E2,28,_vUC0-V2k1E,This is the national anthem for success!
_vUC0-V2k1E3,28,_vUC0-V2k1E,One of the best songs by 50 cent
_vUC0-V2k1E4,28,_vUC0-V2k1E,Who is the white guy said he doesn't like color guys lmao I have a white 😺
UQNLDwQYDDg0,29,UQNLDwQYDDg,L❤V3 50 😍🇬🇧✌🏻💋
UQNLDwQYDDg1,29,UQNLDwQYDDg,50 CENT what can I say this is the best remix ever love you man x
UQNLDwQYDDg2,29,UQNLDwQYDDg,Heard this on 107.5 omw to the store I had to find dis!!
UQNLDwQYDDg3,29,UQNLDwQYDDg,Go liv ....❤🔥  this one takes you right BACK
UQNLDwQYDDg4,29,UQNLDwQYDDg,Hi-tech production Roy Ayers sample !
CD-E-LDc3840,30,CD-E-LDc384,👍👍👍🎸🎸🎸
CD-E-LDc3841,30,CD-E-LDc384,The best rock song to listen to while you sleep. Impossible.
CD-E-LDc3842,30,CD-E-LDc384,I wonder if they knew they would be music legends 🤔
CD-E-LDc3843,30,CD-E-LDc384,This is the kind of music mom used to sing to me at bedtime.
CD-E-LDc3844,30,CD-E-LDc384,nice
tAGnKpE4NCI0,31,tAGnKpE4NCI,Now I get emotional when hearing this now
tAGnKpE4NCI1,31,tAGnKpE4NCI,✨
tAGnKpE4NCI2,31,tAGnKpE4NCI,This is the most overrated band I’ve ever seen even nirvana is better
