,uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
4020,spotify:track:5Pnb6NnOVs5ZWRpKTphvKq,5Pnb6NnOVs5ZWRpKTphvKq,0.809,0.313,6,-11.269,1,0.0403,0.93,0.0,0.312,0.733,82.384,246280,3,https://api.spotify.com/v1/audio-analysis/5Pnb6NnOVs5ZWRpKTphvKq,https://api.spotify.com/v1/tracks/5Pnb6NnOVs5ZWRpKTphvKq
4021,spotify:track:0v4okBbM9NRSFKNZVitLg0,0v4okBbM9NRSFKNZVitLg0,0.359,0.446,5,-6.586,1,0.0315,0.865,0.0,0.176,0.654,136.602,265267,3,https://api.spotify.com/v1/audio-analysis/0v4okBbM9NRSFKNZVitLg0,https://api.spotify.com/v1/tracks/0v4okBbM9NRSFKNZVitLg0
4022,spotify:track:0mPYN69Ko3N8HeaZwZv1am,0mPYN69Ko3N8HeaZwZv1am,0.623,0.254,10,-11.573,0,0.22,0.979,0.0,0.293,0.625,82.681,114053,4,https://api.spotify.com/v1/audio-analysis/0mPYN69Ko3N8HeaZwZv1am,https://api.spotify.com/v1/tracks/0mPYN69Ko3N8HeaZwZv1am
4023,spotify:track:7w7B0C7kT6CWLPGb0i4ArG,7w7B0C7kT6CWLPGb0i4ArG,0.618,0.0978,1,-15.391,1,0.315,0.958,0.0,0.297,0.587,173.951,192293,4,https://api.spotify.com/v1/audio-analysis/7w7B0C7kT6CWLPGb0i4ArG,https://api.spotify.com/v1/tracks/7w7B0C7kT6CWLPGb0i4ArG
4024,spotify:track:7cJUHN31KfyZjdAUnFq5ih,7cJUHN31KfyZjdAUnFq5ih,0.807,0.194,0,-13.702,1,0.0403,0.957,0.0,0.0731,0.917,103.614,135558,5,https://api.spotify.com/v1/audio-analysis/7cJUHN31KfyZjdAUnFq5ih,https://api.spotify.com/v1/tracks/7cJUHN31KfyZjdAUnFq5ih
4025,spotify:track:7vL3rT6hAv7Gixf3y1XDBy,7vL3rT6hAv7Gixf3y1XDBy,0.882,0.733,4,-6.795,1,0.342,0.809,0.0,0.724,0.913,96.04,117640,4,https://api.spotify.com/v1/audio-analysis/7vL3rT6hAv7Gixf3y1XDBy,https://api.spotify.com/v1/tracks/7vL3rT6hAv7Gixf3y1XDBy
4026,spotify:track:50SKJ7ghPxA7JN8cP8wl8O,50SKJ7ghPxA7JN8cP8wl8O,0.52,0.729,2,-5.745,1,0.0364,0.314,5.03e-05,0.114,0.851,98.642,195419,4,https://api.spotify.com/v1/audio-analysis/50SKJ7ghPxA7JN8cP8wl8O,https://api.spotify.com/v1/tracks/50SKJ7ghPxA7JN8cP8wl8O
4027,spotify:track:6sguMb85rfhr4dUxbxduiN,6sguMb85rfhr4dUxbxduiN,0.716,0.524,7,-11.548,0,0.0443,0.651,0.000749,0.106,0.608,134.362,191693,4,https://api.spotify.com/v1/audio-analysis/6sguMb85rfhr4dUxbxduiN,https://api.spotify.com/v1/tracks/6sguMb85rfhr4dUxbxduiN
4028,spotify:track:7kKij7JoKP18RGmzki96hj,7kKij7JoKP18RGmzki96hj,0.511,0.12,3,-17.919,1,0.111,0.954,0.0,0.519,0.51,173.918,168200,3,https://api.spotify.com/v1/audio-analysis/7kKij7JoKP18RGmzki96hj,https://api.spotify.com/v1/tracks/7kKij7JoKP18RGmzki96hj
4029,spotify:track:5HFTXdXOYdrTBTQzENl3Y6,5HFTXdXOYdrTBTQzENl3Y6,0.674,0.939,5,-3.68,1,0.0589,0.393,4.33e-05,0.278,0.84,116.117,148107,4,https://api.spotify.com/v1/audio-analysis/5HFTXdXOYdrTBTQzENl3Y6,https://api.spotify.com/v1/tracks/5HFTXdXOYdrTBTQzENl3Y6
